:START_ID,:END_ID,:TYPE,quyền_và_nghĩa_vụ,theo_quy_định,theo_phần,cấp,phạm_vi,mục_đích,chính_sách,loại,quy_định,quyền,thẩm_quyền
quyền_và_nghĩa_vụ_người_sử_dụng_đất,VănBảnPhápLuật,liênQuanĐến,,,,,,,,,,,
nhà_nước,quyền_và_nghĩa_vụ_người_sử_dụng_đất,thựcHiệnQuyềnĐạiDiệnChủSởHữuVềĐấtĐai,,,,,,,,,,,
quốc_hội,quyền_và_nghĩa_vụ_người_sử_dụng_đất,thựcHiệnQuyềnĐạiDiệnChủSởHữuVềĐấtĐai,,,,,,,,,,,
ủy_ban_thường_vụ_quốc_hội,quyền_và_nghĩa_vụ_người_sử_dụng_đất,thựcHiệnQuyềnĐạiDiệnChủSởHữuVềĐấtĐai,,,,,,,,,,,
phòng_hộ,đất_rừng_sản_xuất,liênQuanĐến,,,,,,,,,,,
luật,đất_rừng_sản_xuất,liênQuanĐến,,,,,,,,,,,
luật,giám_sát_việc_thi_hành_pháp_luật_về_đất_đai,liênQuanĐến,,,,,,,,,,,
chính_phủ,nhà_nước,thựcHiệnQuyềnĐạiDiệnChủSởHữu,,,,,,,,,,,theo quy định của Luật
ủy_ban_nhân_dân,nhà_nước,thựcHiệnQuyềnĐạiDiệnChủSởHữu,,,,,,,,,,,theo quy định của Luật
nhà_nước,đất_rừng_sản_xuất,thựcHiệnQuyềnĐạiDiệnChủSởHữu,,,,,,,,,,,theo quy định của Luật
nhà_nước,người_sử_dụng_đất,thựcHiệnQuyềnĐạiDiệnChủSởHữu,,,,,,,,,,,theo quy định của Luật
nhà_nước,người_sử_dụng_đất,thựcHiệnChínhSách,,,,,,,tạo điều kiện cho người trực tiếp sản xuất nông nghiệp không có đất sản xuất,,,,
người_sử_dụng_đất,giấy_chứng_nhận_quyền_sử_dụng_đất,đượcCấpBởi,,,,,,,,,,quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất,
người_sử_dụng_đất,bồi_thường_hỗ_trợ_tái_định_cư,thựcHiện,,,,,,,,,,thực hiện bồi thường, hỗ trợ, tái định cư,
người_sử_dụng_đất,hướng_dẫn,thực_hiện,,,,,,,,,,,
người_sử_dụng_đất,trợ_giúp_pháp_lý,thực_hiện,,,,,,,,,,,
người_sử_dụng_đất,cơ_sở_dữ_liệu_quốc_gia_đất_đai,thực_hiện,,,,,,,,,,,
đồng_bào_dân_tộc_thiểu_số,người_sử_dụng_đất,thuộc,,,,,,,,,,,
nhà_nước,đồng_bào_dân_tộc_thiểu_số,cóTráchNhiệmĐốiVới,,,,,,,,,,,
văn_bản_chính_sách_hỗ_trợ_đất_đai,đất_đai,liênQuanĐến,,,,,,,,,,,
văn_bản_chính_sách_hỗ_trợ_đất_đai,cá_nhân,liênQuanĐến,,,,,,,,,,,
văn_bản_chính_sách_hỗ_trợ_đất_đai,vùng_đồng_bào_dân_tộc_thiểu_số_và_miền_núi,liênQuanĐến,,,,,,,,,,,
văn_bản_chính_sách_hỗ_trợ_đất_đai,quyền_và_nghĩa_vụ_hỗ_trợ_đất_đai,liênQuanĐến,,,,,,,,,,,
cá_nhân,văn_bản_chính_sách_hỗ_trợ_đất_đai,đượcHỗTrợBởi,,,,,,,,,,,
vùng_đồng_bào_dân_tộc_thiểu_số_và_miền_núi,văn_bản_chính_sách_hỗ_trợ_đất_đai,đượcHỗTrợBởi,,,,,,,,,,,
quyền_và_nghĩa_vụ_hỗ_trợ_đất_đai,cá_nhân,đượcÁpDụngCho,,,,,,,,,,,
quyền_và_nghĩa_vụ_hỗ_trợ_đất_đai,hộ_nghèo,đượcÁpDụngCho,,,,,,,,,,,
nhà_nước,đồng_bào_dân_tộc_thiểu_số,giao,,,,,,tổng diện tích đất,,,,,
nhà_nước,chính_sách_hỗ_trợ_đất_đai,hỗ_trợ,,,,,,,,,,,
chính_sách_hỗ_trợ_đất_đai,đồng_bào_dân_tộc_thiểu_số,bảo_đảm_ổn_định_cuộc_sống_cho,,,,,,,,,,,
đồng_bào_dân_tộc_thiểu_số,hộ_nghèo,thuê_đất,,,,,,,,,khoản 2,,
đồng_bào_dân_tộc_thiểu_số,hộ_cận_nghèo,thuê_đất,,,,,,,,,khoản 2,,
hộ_nghèo,vùng_đồng_bào_dân_tộc_thiểu_số,thuộc_diện,,,,,,,,vùng đồng bào dân tộc thiểu số,,,
hộ_cận_nghèo,vùng_đồng_bào_dân_tộc_thiểu_số,thuộc_diện,,,,,,,,vùng đồng bào dân tộc thiểu số,,,
chính_sách_quy_định,quỹ_đất,đượcThựcHiệnTại,,,,,,,,,,,
chính_sách_quy_định,cơ_quan,đượcThựcHiệnTại,,,,,,,,,,,
chính_sách_quy_định,tổ_chức,đượcThựcHiệnTại,,,,,,,,,,,
quỹ_đất,cơ_quan,thuộc,,,,,,,,,,,
quỹ_đất,tổ_chức,thuộc,,,,,,,,,,,
quỹ_đất,nhà_nước,thuộc,,,,,,,,,,,
quỹ_đất_thu_hồi,quỹ_đất,thuộc,,,,,,,,,,,
ủy_ban_nhân_dân,địa_phương,quyếtĐịnh,,,,,,,,,,,
ủy_ban_nhân_dân,cá_nhân,thựcHiệnChínhSách,,,,,,,,,,,
ủy_ban_nhân_dân,dân_tộc_thiểu_số,thựcHiệnChínhSách,,,,,,,,,,,
nhân_dân_cấp_tỉnh,hội_đồng_nhân_dân_cùng_cấp,trình,,,,,,,,,,,
hội_đồng_nhân_dân_cùng_cấp,chính_sách_địa_phương_về_đất_đai,banHành,,,,,,,,,,,
chính_sách_địa_phương_về_đất_đai,đồng_bào_dân_tộc_thiểu_số,đốiVới,,,,,,,,,,,
chính_sách_địa_phương_về_đất_đai,đất_đai,đốiVới,,,,,,,,,,,
hằng_năm,ủy_ban_nhân_dân_cấp_xã,thựcHiệnBởi,,,,,,,,,,,
ủy_ban_nhân_dân_cấp_xã,ủy_ban_nhân_dân_cấp_huyện,ràSoát,,,,,,,,,,,
ủy_ban_nhân_dân_cấp_xã,ủy_ban_nhân_dân_cấp_huyện,báoCáo,,,,,,,,,,,
tộc_thiểu,nhà_nước,đượcGiaoĐấtTheo,,,,,,,,,,,
đồng_bào_dân_tộc_thiểu_số,luật,đượcQuyĐịnhTại,,,,,,,,,,,
bồi_thường_hỗ_trợ_tái_định_cư,luật,thựcHiệnTheo,,,,,,,,,,,
bồi_thường_hỗ_trợ_tái_định_cư,đồng_bào_dân_tộc_thiểu_số,thuộcChínhSáchVề,,,,,,,,,,,
bồi_thường_hỗ_trợ_tái_định_cư,luật,thuHồiĐấtTheo,,,,,,,,,,,
bồi_thường_hỗ_trợ_tái_định_cư,quyền_sở_hữu_tài_sản_gắn_liền_với_đất,thuHồiĐấtTheo,,,,,,,,,,,
ngân_sách_nhà_nước,đồng_bào_dân_tộc_thiểu_số,đượcLiênQuanĐến,,,,,,,,,,,
nguồn_vốn_hợp_pháp,đồng_bào_dân_tộc_thiểu_số,đượcLiênQuanĐến,,,,,,,,,,,
chính_phủ,đất,quyĐịnh,,,,,,,,,,,
Nhà_nước,quyền_sử_dụng_đất,bảoHộ,,,,,,,,,,,
Nhà_nước,tài_sản,bảoHộ,,,,,,,,,,,
Nhà_nước,đất,khôngThừaNhận,,,,,,,,,,,
nhà_nước_việt_nam_dân_chủ_cộng_hoà,nhà_nước_cộng_hòa_xã_hội_chủ_nghĩa_việt_nam,đượcChínhSáchĐấtĐaiCủa,,,,,,,,,,,
chính_phủ_cách_mạng_lâm_thời_cộng_hòa_miền_nam_việt_nam,nhà_nước_cộng_hòa_xã_hội_chủ_nghĩa_việt_nam,đượcChínhSáchĐấtĐaiCủa,,,,,,,,,,,
điều_18,nhà_nước_việt_nam_dân_chủ_cộng_hoà,đượcThựcHiệnBởi,,,,,,,,,,,
cung_cấp_thông_tin_đất_đai,hệ_thống_thông_tin_quốc_gia_về_đất_đai,liênQuanĐến,,,,,,,,,,,
cung_cấp_thông_tin_đất_đai,người_sử_dụng_đất,liênQuanĐến,,,,,,,,,,,
cung_cấp_thông_tin_đất_đai,tổ_chức,liênQuanĐến,,,,,,,,,,,
cung_cấp_thông_tin_đất_đai,cá_nhân,liênQuanĐến,,,,,,,,,,,
cung_cấp_thông_tin_đất_đai,pháp_luật,liênQuanĐến,,,,,,,,,,,
đất_đai,vùng,thuộc,,,,,,,,,,,
người_sử_dụng_đất,quyền_và_nghĩa_vụ,có,,,,,,,,,,,
người_sử_dụng_đất,hoạt_động_liên_quan_đến_đất_đai,tham_gia,,,,,,,,,,,
tổ_chức,người_sử_dụng_đất,là,,,,,,,,,,,
cá_nhân,người_sử_dụng_đất,là,,,,,,,,,,,
văn_bản_pháp_luật,đất_đai,liên_quan,,,,,,,,,,,
văn_bản_pháp_luật,người_sử_dụng_đất,liên_quan,,,,,,,,,,,
văn_bản_pháp_luật,quyền_và_nghĩa_vụ,liên_quan,,,,,,,,,,,
văn_bản_pháp_luật,hoạt_động_liên_quan_đến_đất_đai,liên_quan,,,,,,,,,,,
văn_bản_pháp_luật,cơ_quan_nhà_nước,liên_quan,,,,,,,,,,,
quyền_và_nghĩa_vụ,người_sử_dụng_đất,liên_quan,,,,,,,,,,,
hoạt_động_liên_quan_đến_đất_đai,người_sử_dụng_đất,liên_quan,,,,,,,,,,,
mặt_trận_tổ_quốc_việt_nam,vai_trò,có,,,,,,,,,,,
mặt_trận_tổ_quốc_việt_nam,trách_nhiệm,có,,,,,,,,,,,
ủy_ban_trung_ương_mặt_trận_tổ_quốc_việt_nam,pháp_luật_về_đất_đai,thamGiaXâyDựng,,,,,,,,,,,
pháp_luật_về_đất_đai,đất_đai,liênQuanĐến,,,,,,,,,,,
pháp_luật_về_đất_đai,dự_thảo_quy_hoạch,liênQuanĐến,,,,,,,,,,,
pháp_luật_về_đất_đai,kế_hoạch_sử_dụng_đất_cùng_cấp,liênQuanĐến,,,,,,,,,,,
pháp_luật_về_đất_đai,dự_án_sử_dụng_đất,liênQuanĐến,,,,,,,,,,,
dự_án_sử_dụng_đất,hội_đồng_nhân_dân,do,,,,,,,,,,,
dự_án_sử_dụng_đất,ủy_ban_nhân_dân_cùng_cấp,do,,,,,,,,,,,
người_sử_dụng_đất,thu_hồi_đất,thamGiaÝKiếnVề,,,,,,,,,,,
người_sử_dụng_đất,phương_án_bồi_thường,thamGiaÝKiếnVề,,,,,,,,,,,
người_sử_dụng_đất,hỗ_trợ_tái_định_cư,thamGiaÝKiếnVề,,,,,,,,,,,
người_sử_dụng_đất,cưỡng_chế_thu_hồi_đất,thamGiaÝKiếnVề,,,,,,,,,,,
người_sử_dụng_đất,giám_sát_bảng_giá_đất,thamGiaÝKiếnVề,,,,,,,,,,,
người_sử_dụng_đất,thực_hiện_bảng_giá_đất,thamGiaÝKiếnVề,,,,,,,,,,,
người_sử_dụng_đất,tranh_chấp_đất_đai,thamGiaHòaGiải,,,,,,,,,,,
quyền_và_nghĩa_vụ,đất_đai,liênQuanĐến,,,,,,,,,,,
hoạt_động_liên_quan_đến_đất_đai,đất_đai,liênQuanĐến,,,,,,,,,,,
chủ_sở_hữu_đất_đai,nhà_nước,là,,,,,,,,,,,
quản_lý_nhà_nước_về_đất_đai,văn_bản_quy_phạm_pháp_luật,baoGồm,,,,,,,,,,,
quản_lý_nhà_nước_về_đất_đai,tuyên_truyền_phổ_biến,baoGồm,,,,,,,,,,,
quản_lý_nhà_nước_về_đất_đai,giáo_dục,baoGồm,,,,,,,,,,,
quản_lý_nhà_nước_về_đất_đai,đào_tạo,baoGồm,,,,,,,,,,,
quản_lý_nhà_nước_về_đất_đai,nghiên_cứu_khoa_học,baoGồm,,,,,,,,,,,
quản_lý_nhà_nước_về_đất_đai,phát_triển_công_nghệ,baoGồm,,,,,,,,,,,
quản_lý_nhà_nước_về_đất_đai,hợp_tác_quốc_tế,baoGồm,,,,,,,,,,,
quản_lý_nhà_nước_về_đất_đai,xác_định_địa_giới,baoGồm,,,,,,,,,,,
quản_lý_nhà_nước_về_đất_đai,lập_quản_lý_hồ_sơ_địa_giới,baoGồm,,,,,,,,,,,
quản_lý_nhà_nước_về_đất_đai,đo_đạc,baoGồm,,,,,,,,,,,
quản_lý_nhà_nước_về_đất_đai,chỉnh_lý,baoGồm,,,,,,,,,,,
quản_lý_nhà_nước_về_đất_đai,lập_bản_đồ_địa_chính,baoGồm,,,,,,,,,,,
quản_lý_nhà_nước_về_đất_đai,bản_đồ_hiện_trạng_sử_dụng_đất,baoGồm,,,,,,,,,,,
quản_lý_nhà_nước_về_đất_đai,bản_đồ_quy_hoạch_sử,baoGồm,,,,,,,,,,,
Chính_phủ,ĐấtĐai,thốngNhấtQuảnLý,,,,,cả_nước,,,,,,
Thủ_tướng_Chính_phủ,ĐấtĐai,thựcHiệnNhiệmVụ,,,,,,,,,,,
Bộ_Tài_nguyên_và_Môi_trường,Chính_phủ,làCơQuanĐầuMốiGiúp,,,,,,,,,,,
chính_phủ,đất_đai,thựcHiệnQuảnLýNhàNướcVềĐấtĐai,,,,,,,,,,,
bộ,chính_phủ,cóTráchNhiệmGiúp,,,,,,,,,,,
thủ_tướng_chính_phủ,chính_phủ,cóTráchNhiệmGiúp,,,,,,,,,,,
chính_quyền_địa_phương,đất_đai,cóTráchNhiệmQuảnLý,,,,,,,,,,,
hội_đồng_nhân_dân,đất_đai,thựcHiệnNhiệmVụ,,,,,,,,,,,
ủy_ban_nhân_dân,đất_đai,thựcHiệnNhiệmVụ,,,,,,,,,,,
luật,hội_đồng_nhân_dân,đượcBanHànhBởi,,,,,,,,,,,
luật,ủy_ban_nhân_dân_cấp_xã,đượcBanHànhBởi,,,,,,,,,,,
hội_đồng_nhân_dân,ủy_ban_nhân_dân_cấp_xã,đượcBanHànhBởi,,,,,,,,,,,
hệ_thống_cơ_quan_quản_lý_đất_đai,trung_ương,tổChứcTại,,,,,,,,,,,
hệ_thống_cơ_quan_quản_lý_đất_đai,địa_phương,tổChứcTại,,,,,,,,,,,
bộ_tài_nguyên_môi_trường,đất_đai,quảnLýNhàNướcVề,,,,trung_ương,,,,,,,
cơ_quan_quản_lý_đất_đai_địa_phương,cấp_tỉnh,đượcThànhLậpTại,,,,,,,,,,,
cơ_quan_quản_lý_đất_đai_địa_phương,cấp_huyện,đượcThànhLậpTại,,,,,,,,,,,
tổ_chức_dịch_vụ_công_đất_đai,đất_đai,thuộc,,,,,,,,,,,
tổ_chức_đăng_ký_đất_đai,Chính_phủ,hoạt_động_theo,,,,,,,,,,,
tổ_chức_phát_triển_quỹ_đất,Chính_phủ,hoạt_động_theo,,,,,,,,,,,
tổ_chức_dịch_vụ_công,Chính_phủ,hoạt_động_theo,,,,,,,,,,,
ủy_ban_nhân_dân_cấp_xã,luật_cán_bộ_công_chức,cóCôngChứcLàmCôngTácĐịaChínhTheo,,,,,,,,,,,
công_chức_làm_công_tác_địa_chính,ủy_ban_nhân_dân_cấp_xã,thuộc,,,,,,,,,,,
công_dân,đất_đai,cóQuyền,,,,,,,,,,tham gia,
ThủTụcHànhChínhVềĐấtĐai,ĐấtĐai,thuộc,,,,,,,,,,,
VănBảnQuyPhạmPhápLuậtVềĐấtĐai,ĐấtĐai,thuộc,,,,,,,,,,,
ThôngTinĐấtĐaiKhác,ĐấtĐai,thuộc,,,,,,,,,,,
Luật,TiếpCậnThôngTin,liênQuan,,,,,,,,,,,
Luật,QuyĐịnhKhác,liênQuan,,,,,,,,,,,
NghĩaVụCủaCôngDânĐốiVớiĐấtĐai,CôngDân,ápDụngCho,,,,,,,,,,,
NgườiSửDụngĐất,VănBảnPhápLuật,có,,,,,,,,,,,
NgườiSửDụngĐất,QuyềnVàNghĩaVụ,cóQuyền,,,,,,,,,,,
người_sử_dụng_đất,quyền_và_nghĩa_vụ,thựcHiện,,,,,,,,,,,
người_sử_dụng_đất,quyền_và_nghĩa_vụ,có,,,,,,,,,,,
cá_nhân,quyền_và_nghĩa_vụ,có,,Luật này,,,,,,,,,
tổ_chức_kinh_tế,quyền_và_nghĩa_vụ,có,,Luật này,,,,,,,,,
nhóm_người_sử_dụng_đất,quyền_sử_dụng_đất,phân_chia,,,từng_thành_viên,,,,,,,,
nhóm_người_sử_dụng_đất,quyền_và_nghĩa_vụ,thực_hiện,,Luật này,,,,,,,,,
nhóm_người_sử_dụng_đất,thực_hiện,không_phân_chia,cùng_nhau_hoặc_ủy_quyền,,,,,,,,,,
điều_28,cá_nhân,NhậnQuyềnSửDụngĐất,,,,,,,,,,,
điều_28,tổ_chức_kinh_tế,NhậnQuyềnSửDụngĐất,,,,,,,,,,,
điều_28,tổ_chức_kinh_tế_vốn_đầu_tư_nước_ngoài,NhậnQuyềnSửDụngĐất,,,,,,,,,,,
điều_28,người_gốc_việt_nam_định_cư_ở_nước_ngoài,NhậnQuyềnSửDụngĐất,,,,,,,,,,,
Chính_phủ,ĐấtĐai,quảnLý,,,,,,,,,,,
Luật,Chính_phủ,quyĐịnh,,,,,,,,,,,
Vốn_Đầu_Tư_Nước_Ngoài,ĐấtĐai,nhậnChuyểnNhượng,,,,,,,,,,,
Tổ_Chức_Kinh_Tế,ĐấtĐai,nhậnGópVốn,,,,,,,,,,,
Tổ_Chức_Kinh_Tế_Có_Vốn_Đầu_Tư_Nước_Ngoài,ĐấtĐai,nhậnGópVốn,,,,,,,,,,,
Tổ_Chức_Trong_Nước,ĐấtĐai,nhậnTặng,,,,,,,,,,,
Cá_Nhân,ĐấtĐai,nhậnTặng,,,,,,,,,,,
Cộng_Đồng_Dân_Cư,ĐấtĐai,nhậnTặng,,,,,,,,,,,
Tổ_Chức_Trong_Nước,ĐấtĐai,nhậnThừaKế,,,,,,,,,,,
Cá_Nhân,ĐấtĐai,nhậnThừaKế,,,,,,,,,,,
Cộng_Đồng_Dân_Cư,ĐấtĐai,nhậnThừaKế,,,,,,,,,,,
Người_Gốc_Việt_Nam_Định_Cư_Ở_Nước_Ngoài,sửDụng,đượcPhép,,,,,,,,,,quyền sử dụng đất,
ép_nhập_cảnh,Việt_Nam,liên_quan_đến,,,,,,,,,,,
mua,ĐấtĐai,liên_quan_đến,,,,,,,,,,,
thuê_mua_nhà_ở,ĐấtĐai,liên_quan_đến,,,,,,,,,,,
thuê_mua_nhà_ở,quyền_sử_dụng_đất_ở,liên_quan_đến,,,,,,,,,,,
thuê_mua_nhà_ở,dự_án_phát_triển_nhà_ở,liên_quan_đến,,,,,,,,,,,
thừa_kế_quyền_sử_dụng_đất_ở,QuyềnVàNghĩaVụ,liên_quan_đến,,,,,,,,,,,
thừa_kế_quyền_sử_dụng_đất_ở,loại_đất,liên_quan_đến,,,,,,,,,,,
thừa_kế_quyền_sử_dụng_đất_ở,thửa_đất,liên_quan_đến,,,,,,,,,,,
thừa_kế_quyền_sử_dụng_đất_ở,nhà_ở,liên_quan_đến,,,,,,,,,,,
tặng_cho_nhà_ở,HoạtĐộngLiênQuanĐếnĐấtĐai,liên_quan_đến,,,,,,,,,,,
tặng_cho_nhà_ở,quyền_sử_dụng_đất_ở,liên_quan_đến,,,,,,,,,,,
tặng_cho_nhà_ở,người_thừa_kế,liên_quan_đến,,,,,,,,,,,
người_thừa_kế,tổ_chức_trong_nước,thuộc,,,,,,,,,,,
người_thừa_kế,cá_nhân,thuộc,,,,,,,,,,,
người_thừa_kế,cộng_đồng_dân_cư,thuộc,,,,,,,,,,,
người_thừa_kế,tổ_chức_tôn_giáo,thuộc,,,,,,,,,,,
người_thừa_kế,tổ_chức_tôn_giáo_trực_thuộc,thuộc,,,,,,,,,,,
nhà_nước,văn_bản_pháp_luật,cóThẩmQuyềnVề,,,,,,,,,,,
